id_intervenant,nom,prenom,telephone,email,annee_scolaire,disponibilite,id_statut
1,Faure,Louise,+33 6 83 47 01 74,louise.faure1@telecomnancy.example,Télécom Nancy - 2A,indisponible,2
2,Richard,Thomas,+33 7 38 40 19 16,thomas.richard2@telecomnancy.example,Télécom Nancy - 1A,indisponible,2
3,Robert,Noah,+33 6 33 07 66 61,noah.robert3@telecomnancy.example,Télécom Nancy - 3A,disponible,4
4,Renaud,Nina,+33 6 45 06 12 31,nina.renaud4@telecomnancy.example,Télécom Nancy - 1A,disponible,1
5,Blanc,Julien,+33 6 78 32 66 16,julien.blanc5@telecomnancy.example,Télécom Nancy - 2A,indisponible,1
6,Morel,Lucas,+33 7 03 26 99 10,lucas.morel6@telecomnancy.example,Télécom Nancy - 1A,disponible,3
7,Martin,Camille,+33 7 46 11 13 93,camille.martin7@telecomnancy.example,Télécom Nancy - 1A,disponible,2
8,Garcia,Anaïs,+33 7 92 62 24 39,anaïs.garcia8@telecomnancy.example,Télécom Nancy - 1A,disponible,1
9,Lemaire,Léo,+33 6 67 91 60 11,léo.lemaire9@telecomnancy.example,Télécom Nancy - 1A,disponible,2
10,David,Camille,+33 7 46 97 48 21,camille.david10@telecomnancy.example,Télécom Nancy - 1A,disponible,2
11,Robin,Julie,+33 6 43 30 14 67,julie.robin11@telecomnancy.example,Télécom Nancy - 1A,disponible,3
12,Fournier,Ethan,+33 6 15 27 58 92,ethan.fournier12@telecomnancy.example,Télécom Nancy - 3A,disponible,1
13,Mercier,Hugo,+33 7 00 91 71 45,hugo.mercier13@telecomnancy.example,Télécom Nancy - 1A,indisponible,3
14,Faure,Arthur,+33 6 25 51 71 60,arthur.faure14@telecomnancy.example,Télécom Nancy - 2A,disponible,1
15,Caron,Charlotte,+33 6 91 11 14 65,charlotte.caron15@telecomnancy.example,Télécom Nancy - 2A,indisponible,1
16,Legrand,Noémie,+33 7 81 88 04 91,noémie.legrand16@telecomnancy.example,Télécom Nancy - 2A,disponible,1
17,Dubois,Noémie,+33 7 40 54 29 38,noémie.dubois17@telecomnancy.example,Télécom Nancy - 1A,indisponible,1
18,Caron,Sarah,+33 7 35 64 36 33,sarah.caron18@telecomnancy.example,Télécom Nancy - 2A,disponible,3
19,Leroy,Louise,+33 7 50 14 21 77,louise.leroy19@telecomnancy.example,Télécom Nancy - 2A,indisponible,1
20,Muller,Thomas,+33 7 59 75 10 49,thomas.muller20@telecomnancy.example,Télécom Nancy - 1A,disponible,1
21,Francois,Zoé,+33 6 26 73 04 32,zoé.francois21@telecomnancy.example,Télécom Nancy - 1A,indisponible,1
22,Faure,Nathan,+33 7 13 37 42 07,nathan.faure22@telecomnancy.example,Télécom Nancy - 3A,disponible,1
23,Roux,Ethan,+33 7 88 89 26 31,ethan.roux23@telecomnancy.example,Télécom Nancy - 2A,indisponible,1
24,Rousseau,Sacha,+33 7 30 68 98 57,sacha.rousseau24@telecomnancy.example,Télécom Nancy - 2A,disponible,1
25,Durand,Léa,+33 6 33 61 48 54,léa.durand25@telecomnancy.example,Télécom Nancy - 3A,indisponible,2
26,Guerin,Clara,+33 7 58 64 70 31,clara.guerin26@telecomnancy.example,Télécom Nancy - 2A,indisponible,1
27,Garnier,Ethan,+33 6 72 88 77 91,ethan.garnier27@telecomnancy.example,Télécom Nancy - 1A,disponible,1
28,Fournier,Julie,+33 6 88 84 46 93,julie.fournier28@telecomnancy.example,Télécom Nancy - 2A,indisponible,2
29,Boyer,Marine,+33 7 36 81 80 96,marine.boyer29@telecomnancy.example,Télécom Nancy - 1A,disponible,1
30,Boyer,Jules,+33 6 71 21 87 66,jules.boyer30@telecomnancy.example,Télécom Nancy - 2A,disponible,3
31,Moreau,Adrien,+33 7 85 13 69 04,adrien.moreau31@telecomnancy.example,Télécom Nancy - 1A,disponible,1
32,Thomas,Hugo,+33 6 04 55 39 71,hugo.thomas32@telecomnancy.example,Télécom Nancy - 2A,disponible,1
33,Guerin,Nathan,+33 6 86 06 68 92,nathan.guerin33@telecomnancy.example,Télécom Nancy - 3A,disponible,2
34,Garnier,Lucie,+33 6 89 92 35 25,lucie.garnier34@telecomnancy.example,Télécom Nancy - 3A,disponible,2
35,Leroy,Emma,+33 6 12 32 14 61,emma.leroy35@telecomnancy.example,Télécom Nancy - 2A,indisponible,2
